POSTDATE,QUOTE,AUTHOR,
03/04/2020,Energy and persistence conquer all things., Benjamin Franklin,
03/04/2020,"An intelligent plan is the first step to success. The man who plans knows where he is going, knows what progress he is making and has a pretty good idea when he will arrive. Planning is the open road to your destination.",Basil S. Walsh,
03/04/2020,Discipline is remembering what you want.,David Campbell,
03/05/2020,A man who is a master of patience is a master of everything else., George Savile,
03/06/2020,Honesty is the best policy., Benjamin Franklin,
03/06/2020,The secret of success is constancy of purpose., Benjamin Disraeli,
03/06/2020,People with goals succeed because they know where they are going., Earl Nightingale,
03/09/2020,"Your work is to discover your work, and then with all your heart, to give yourself to it.", Buddha,
03/10/2020,"To win, you have to have the talent and desire. But desire is first.", Sam Snead,
03/11/2020,No one knows what he can do till he tries., Syrus,
03/12/2020,Education is the best provision for the journey to old age., Aristotle,
03/13/2020,Success is the ability to go from one failure to another with no loss of enthusiasm., Sir Winston Churchill,
03/14/2020,The best way to make your dreams come true is to wake up., Paul Valery,
03/15/2020,"If you can dream it, you can do it.", Walt Disney,
03/16/2020,Never put off till tomorrow what you can do today., Benjamin Franklin,
03/17/2020,"Wherever you go, go with all your heart.", Confucius,
03/18/2020,To be prepared is half the victory., Miguel de Cervantes,
03/19/2020,"If you want a thing done well, do it yourself.", Napoleon Bonaparte,
03/20/2020,An investment in knowledge pays the best interest., Benjamin Franklin,
03/21/2020,One man with courage makes a majority., Andrew Jackson,
03/22/2020,"It concerns us to know the purposes we seek in life, for then, like archers aiming at a definite mark, we shall be more likely to attain what we want.",Aristotle,
03/23/2020,Raise your hopes and expectations high enough and you shall touch wings with the divine.,Celia Mora,
03/24/2020,You are the product of your own brainstorm., Rosemary Konner Steinbaum,
03/25/2020,The man who has no imagination has no wings., Muhammad Ali,
03/26/2020,One of the things I learned the hard way was that it doesn't pay to get discouraged. Keeping busy and making optimism a way of life can restore your faith in yourself., Lucille Ball,
03/06/2020,The measure of a man is the way he bears up under misfortune., Plutarch,
03/28/2020,"Just trust yourself, then you will know how to live.", Johann Wolfgang von Goethe,
03/29/2020,Fortune favors the brave., Terrence,
03/30/2020,"I have not failed. I've just found 10,000 ways that don't work.", Thomas Edison,
03/06/2020,"I not only use all the brains that I have, but all that I can borrow.", Woodrow Wilson,
04/01/2020,"If the only tool you have is a hammer, every problem looks like a nail.", Abraham Maslow,
04/02/2020,"Do not follow where the path may lead. Go, instead, where there is no path and leave a trail.",Ralph Waldo Emerson,
04/03/2020,Anger is a wind which blows out the lamp of the mind., Robert Ingersoll,
04/04/2020,"When I do good, I feel good. When I do bad, I feel bad. That's my religion.", Abraham Lincoln,
04/05/2020,"No pressure, no diamonds.", Thomas Carlyle,
04/06/2020,"I'm a great believer in luck and I find the harder I work, the more I have of it.", Thomas Jefferson,
04/07/2020,It's kind of fun to do the impossible., Walt Disney,
04/08/2020,An ant on the move does more than a dozing ox., Lao Tzu,
04/09/2020,There is no failure except in no longer trying., Elbert Hubbard,
04/10/2020,Formal education will make you a living. Self-education will make you a fortune., Jim Rohn,
04/11/2020,I walk slowly; but I never walk backward., Abraham Lincoln,
04/12/2020,The great use of life is to spend it on something that will outlast it., William James,
04/13/2020,There is no giant step that does it. It's a lot of little steps., Peter A. Cohen,
04/14/2020,"We must wake ourselves up! Or somebody else will take our place, and bear our cross, and thereby rob us of our crown.",William Booth,
04/15/2020,"In the time of darkest defeat, victory may be nearest.", William McKinley,
04/16/2020,"It is not death that a man should fear, but he should fear never beginning to live.", Marcus Aurelius,
04/17/2020,Action may not always bring happiness; but there is no happiness without action., Benjamin Franklin,
04/18/2020,Discipline is the bridge between goals and accomplishment., Jim Rohn,
04/19/2020,"People may doubt what you say, but they will believe what you do.", Lewis Cass,
04/20/2020,Give me six hours to chop down a tree and I will spend the first four sharpening the axe.,Abraham Lincoln,
04/21/2020,For myself I am an optimist – it does not seem to be much use being anything else., Sir Winston Churchill,
04/22/2020,All things are difficult before they are easy., Thomas Fuller,
04/23/2020,We are what we repeatedly do. Excellence is therefore not an act but a habit., Aristotle,
04/24/2020,Great spirits have always encountered violent opposition from mediocre minds., Albert Einstein,
04/25/2020,Success is how high you bounce when you hit bottom., George Smith Patton, Jr.
04/26/2020,It is necessary for us to learn from other's mistakes. You will not live long enough to make them all yourself.,Hyman George Rickover,
04/27/2020,I want to live my life so that my nights are not full of regrets., D. H. Lawrence,
04/28/2020,The world makes way for the man who knows where he is going., Ralph Waldo Emerson,
04/29/2020,"The principle goal of education is to create men who are capable of doing new things, not simply of repeating what other generations have done – men who are creative, and inventive.",Jean Piaget,
04/30/2020,We must be the change we wish to see in the world., Mahatma Gandhi,
05/01/2020,"Things may come to those who wait, but only the things left by those who hustle.", Abraham Lincoln,
05/02/2020,"Success depends upon previous preparation, and without such preparation there is sure to be failure.",Confucius,
05/03/2020,A jug fills drop by drop., Buddha,
05/04/2020,Either write something worth reading or do something worth writing., Benjamin Franklin,
05/05/2020,"Pessimism leads to weakness, optimism to power.", Wiliam James,
05/06/2020,He that respects himself is safe from others. He wears a coat of mail that none can pierce.,Henry Wadsworth Longfellow,
05/07/2020,Know or listen to those who know., Baltasar Gracian,
05/08/2020,"In life, as in chess, forethought wins.",Charles Buxton,
05/09/2020,The winds and the waves are always on the side of the ablest navigators., Edward Gibbon,
05/10/2020,Nothing gives one person so much advantage over another as to remain always cool and unruffled under all circumstances.,Thomas Jefferson,
05/11/2020,To do a common thing uncommonly well brings success., Henry J. Heinz,
05/12/2020,I've got a great ambition to die of exhaustion rather than boredom., Thomas Carlyle,
05/13/2020,When angry count to ten before you speak. If very angry count to one hundred., Thomas Jefferson,
05/14/2020,To educate a man is to unfit him to be a slave., Fredrick Douglas,
05/15/2020,Never mistake motion for action., Ernest Hemingway,
05/16/2020,I am always doing that which I can not do; in order that I may learn how to do it., Pablo Picasso,
05/17/2020,All glory comes from daring to begin., Eugene F. Ware,
05/18/2020,If your ship doesn't come in swim out to it., Jonathan Winters,
05/19/2020,"Just as iron rusts from disuse, even so does inaction spoil the intellect.", Leonardo Da Vinci,
05/20/2020,Don't believe that winning is everything. It's more important to stand for something. If you don't stand for something what do you win?,Lane Kirkland,
05/21/2020,"If you risk nothing, then you risk everything.", Geena Davis,
05/22/2020,"Life is always walking up to us and saying, 'Come on in, the living's fine', and what do we do ? Back off and take its picture.",Russell Baker,
05/23/2020,You have to be careful about being too careful., Beryl Pfizer,
05/24/2020,Imagination is more important than knowledge., Albert Einstein,
05/25/2020,A good conscience is a continual Christmas., Benjamin Franklin,
05/26/2020,The strength of a nation derives from the integrity of the home., Confucius,
05/27/2020,"Ideas are like rabbits. You get a couple and learn how to handle them, and pretty soon you have a dozen.",John Steinbeck,
05/28/2020,A public-opinion poll is no substitute for thought., Warren Buffett,
05/29/2020,Success covers a multitude of blunders., Bernard Shaw,
05/30/2020,"The cynic says, 'One man can't do anything.' I say, 'Only one man can do anything.' One man interacting creatively with others can move the world.",John W. Gardner,
05/31/2020,"Life is a great big canvas, and you should throw all the paint on it you can.", Danny Kaye,
06/01/2020,"Life is like a dog-sled team. If you ain't the lead dog, the scenery never changes.", Lewis Grizzard,
06/02/2020,"Life is my college. May I graduate well, and earn some honors!", Louisa May Alcott,
06/03/2020,"It's not what happens to you, but how you react to it that matters.", Epictetus,
03/05/2020,Success usually comes to those who are too busy to be looking for it., Henry David Thoreau,
03/05/2020,"Do the duty which lies nearer to you, the second duty will then become clearer.", Thomas Carlyle,
06/06/2020,"To be idle is a short road to death and to be dilligent is a way of life; foolish people are idle, wise people are dilligent.",Buddha,
06/01/2020,Always bear in mind that your own resolution to succeed is more important than any one thing., Abraham Lincoln  
06/02/2020,You must be the change you wish to see in the world., Mahatma Gandhi 
06/03/2020,No medicine cures what happiness cannot., Gabriel Garcia Marquez  
06/04/2020,"A creative man is motivated by the desire to achieve, not by the desire to beat others.", Ayn Rand  
06/05/2020,People won't have time for you if you are always angry or complaining., Stephen Hawking  
06/06/2020,"If you can dream it, you can do it.", Walt Disney  
06/07/2020,"By failing to prepare, you are preparing to fail.", Benjamin Franklin  
